Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_10x10.5,1,470μF,
"D1, D2, D3, D4",D_SMA,4,D_Schottky,
"J1, J2, J3, J4",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4,Channel 1,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Reset Button,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Set Button,
J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,OLED 128X64 0.96,
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,24V,
"Q1, Q2, Q3, Q4",SOT-23,4,AO3400A / IRLML6344TRPBF,
"R1, R3, R5, R7",0805,4,220Ω,
"R2, R4, R6, R8",0805,4,10K,
U1,Arduino_MKR,1,Arduino_MKR,
U2,Converter_DCDC_TRACO_TSR0.5-24xx_TSR0.5-24xxx_THT,1,TSR0.5-2450,
