Designator,Mid X,Mid Y,Rotation,Layer
C1,168.0,-108.0,90.0,top
D1,116.0,-110.0,180.0,top
D2,127.0,-110.0,180.0,top
D3,138.0,-110.0,180.0,top
D4,149.0,-110.0,180.0,top
J1,116.75,-119.0,180.0,top
J2,127.75,-119.0,180.0,top
J3,138.75,-119.0,180.0,top
J4,149.75,-119.0,180.0,top
J5,127.75,-66.0,0.0,top
J6,115.75,-66.0,0.0,top
J7,141.75,-66.0,0.0,top
J8,169.0,-93.75,270.0,top
Q1,114.0,-105.0,90.0,top
Q2,125.0,-105.0,90.0,top
Q3,136.0,-105.0,90.0,top
Q4,147.0,-105.0,90.0,top
R1,119.0,-103.0,180.0,top
R2,119.0,-106.0,180.0,top
R3,130.0,-103.0,180.0,top
R4,130.0,-106.0,180.0,top
R5,141.0,-103.0,180.0,top
R6,141.0,-106.0,180.0,top
R7,152.0,-103.0,180.0,top
R8,152.0,-106.0,180.0,top
U1,130.975,-85.25,0.0,top
U2,167.53,-78.99,0.0,top
